time,site_id,p_ac_kw,p_ac_ph1_kw,p_ac_ph2_kw,p_ac_ph3_kw,e_exported_kwh,e_imported_kwh,e_net_kwh,v_ph1_n_v,v_ph2_n_v,v_ph3_n_v,v_ph1_ph2_v,v_ph2_ph3_v,v_ph3_ph1_v,i_ph1_a,i_ph2_a,i_ph3_a,freq_hz,power_factor,power_factor_ph1,power_factor_ph2,power_factor_ph3,q_kvar,q_ph1_kvar,q_ph2_kvar,q_ph3_kvar,q_total_kvarh,quality
2025-03-17 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,182.55920572166667,,,,175.6999999999971,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,962.5819781666672,,,,950.400000000038,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1950.9160491666669,,,,1942.0000000000073,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4178.979749166667,,,,4158.299999999945,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4824.636969166667,,,,4850.800000000025,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,9125.827260833335,,,,9067.299999999974,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,10179.657703333332,,,,10367.700000000043,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,16530.25013083333,,,,16485.699999999953,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,14313.862379166667,,,,14104.499999999987,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,11057.901994999997,,,,11021.500000000022,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4358.147247499999,,,,4391.199999999997,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,955.2867604166667,,,,972.6000000000131,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,31.885579149250002,,,,33.50000000004365,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-17 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.0023280425,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,778.0237650933333,,,,758.099999999933,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4950.629385,,,,4899.60000000002,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,11090.421171666667,,,,11073.399999999929,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,14245.29121333333,,,,14187.200000000103,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,13774.065083333331,,,,13701.49999999996,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,16522.19544133333,,,,16416.29999999998,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,9531.971647499999,,,,9728.599999999984,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1921.6509483333334,,,,1935.4000000000667,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1936.2878075,,,,1893.599999999977,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3669.576407679167,,,,3769.500000000051,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6920.8354616666675,,,,6935.9999999999345,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1625.7196276666664,,,,1654.600000000013,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,43.94613277999999,,,,46.39999999998689,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.0116620375,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-18 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.21012295083333332,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,779.8837319833337,,,,741.400000000038,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4785.0615216666665,,,,4736.399999999972,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1721.7693255000001,,,,2029.9000000000083,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-19 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,10433.374550742423,,,,9653.699999999964,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,17915.597158333334,,,,17778.5,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,19137.2377,,,,19547.300000000007,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,14686.618836666665,,,,13626.600000000071,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,13478.73681916667,,,,21468.899999999878,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,15243.474391666668,,,,15490.800000000114,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,9676.02345583333,,,,9866.299999999956,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5235.183555,,,,5215.000000000015,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1539.162248333333,,,,1573.4999999999493,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,54.43390767266667,,,,56.80000000006112,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.00436768333333333,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-20 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4.2706801683333335,,,,1.4999999999563463,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,845.4281291083333,,,,831.9000000000593,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2973.042468333333,,,,2954.2999999999156,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8319.693649166664,,,,8270.50000000004,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,14518.754166666668,,,,14503.200000000004,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,14950.720666666672,,,,13229.599999999975,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,16692.731708333333,,,,20746.600000000042,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,13672.451049999998,,,,13936.40000000004,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,11732.91233333333,,,,11640.799999999936,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,10222.92858333333,,,,10551.099999999962,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6469.031803333334,,,,6397.600000000033,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2109.3669758333335,,,,2124.299999999981,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,955.6299464166667,,,,971.7000000000189,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,20.235560579175,,,,20.700000000018925,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-21 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.13390805875,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,936.085742775,,,,913.399999999987,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5095.520975833335,,,,5056.199999999975,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7933.702300833336,,,,7931.30000000007,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,13948.063458333332,,,,13856.699999999937,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,10388.108364166666,,,,10582.899999999987,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4567.839322500001,,,,4601.700000000019,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4619.2653366666655,,,,4531.600000000071,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7679.382674166666,,,,7730.599999999976,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4477.999572499999,,,,4469.199999999975,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4362.98743,,,,4388.599999999977,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,697.0602442499996,,,,708.300000000003,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,426.5588373083333,,,,435.30000000004657,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.8462021288333332,,,,3.800000000017469,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-22 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.9248184108333334,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,424.78894416500003,,,,413.9999999999709,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1434.1253633333333,,,,1418.0999999999767,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2976.0744900000004,,,,2939.2999999999447,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5921.821694166666,,,,5868.400000000009,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,9373.5938,,,,9380.600000000037,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,11633.862033333333,,,,11696.900000000083,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,11872.571116666668,,,,12127.89999999992,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,11668.6391,,,,11949.200000000013,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,13918.231691666666,,,,14171.199999999968,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,11878.882454999995,,,,11768.800000000017,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5285.543143333333,,,,5396.5,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1320.7137135000003,,,,1355.0999999999767,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,58.967205975949994,,,,61.700000000084394,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.018033576666666665,,,,0.100000000005821,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-23 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.5760458683333334,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,395.583571585,,,,383.3999999998923,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1702.0769875,,,,1684.400000000023,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3988.0359325000004,,,,3961.800000000003,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8058.0441125,,,,7976.10000000002,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,14506.830143333334,,,,15342.40000000004,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,19215.316800000008,,,,19228.10000000002,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,17145.92036666666,,,,17096.69999999994,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,14261.330691666666,,,,14413.20000000004,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,14149.0143525,,,,14173.299999999957,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,12144.064483333334,,,,12121.10000000008,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6676.920745833334,,,,6694.999999999957,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1913.9414896666663,,,,1936,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,116.56763546516666,,,,120.69999999995343,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.06545957741666665,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-03-24 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
